loop,sample,floor,kind,id,count
62005,0,1,drop,"(O)382",2
62005,0,1,drop,"(O)390",12
62005,0,1,stone,"",20
62005,0,2,container,"",1
62005,0,2,drop,"(O)378",6
62005,0,2,drop,"(O)382",1
62005,0,2,drop,"(O)390",27
62005,0,2,drop,"(O)535",1
62005,0,2,drop,"(O)684",1
62005,0,2,drop,"(O)766",2
62005,0,2,geode,"(O)330",1
62005,0,2,monster,"Bug",1
62005,0,2,monster,"Green Slime",2
62005,0,2,monster,"Rock Crab",1
62005,0,2,node,"Copper node",4
62005,0,2,stone,"",46
62005,0,3,container,"",3
62005,0,3,drop,"(O)378",13
62005,0,3,drop,"(O)382",3
62005,0,3,drop,"(O)390",33
62005,0,3,drop,"(O)766",1
62005,0,3,drop,"(O)78",1
62005,0,3,drop,"(O)92",4
62005,0,3,monster,"Green Slime",2
62005,0,3,node,"Copper node",5
62005,0,3,stone,"",65
62005,0,4,container,"",2
62005,0,4,drop,"(O)378",19
62005,0,4,drop,"(O)382",2
62005,0,4,drop,"(O)390",16
62005,0,4,drop,"(O)535",1
62005,0,4,drop,"(O)684",2
62005,0,4,drop,"(O)766",1
62005,0,4,drop,"(O)80",1
62005,0,4,geode,"(O)86",1
62005,0,4,loose,"(O)80",1
62005,0,4,monster,"Bug",2
62005,0,4,monster,"Green Slime",1
62005,0,4,monster,"Rock Crab",1
62005,0,4,node,"Copper node",9
62005,0,4,stone,"",58
62005,0,5,container,"",6
62005,0,5,drop,"(O)382",2
62005,0,5,drop,"(O)388",1
62005,0,5,drop,"(O)390",20
62005,0,5,drop,"(O)684",2
62005,0,5,drop,"(O)766",3
62005,0,5,drop,"(O)78",1
62005,0,5,drop,"(O)CarrotSeeds",3
62005,0,5,monster,"Bug",2
62005,0,5,monster,"Green Slime",2
62005,0,5,stone,"",38
62005,0,6,drop,"(O)153",2
62005,0,6,drop,"(O)286",2
62005,0,6,drop,"(O)378",4
62005,0,6,drop,"(O)382",3
62005,0,6,drop,"(O)390",37
62005,0,6,drop,"(O)535",1
62005,0,6,drop,"(O)684",3
62005,0,6,drop,"(O)766",2
62005,0,6,drop,"(O)80",1
62005,0,6,drop,"(O)92",1
62005,0,6,geode,"(O)382",1
62005,0,6,loose,"(O)80",1
62005,0,6,monster,"Bug",4
62005,0,6,monster,"Duggy",3
62005,0,6,monster,"Green Slime",4
62005,0,6,node,"Copper node",3
62005,0,6,stone,"",55
62005,0,7,container,"",2
62005,0,7,drop,"(O)378",8
62005,0,7,drop,"(O)382",8
62005,0,7,drop,"(O)390",60
62005,0,7,drop,"(O)535",3
62005,0,7,drop,"(O)717",1
62005,0,7,drop,"(O)80",1
62005,0,7,geode,"(O)330",1
62005,0,7,geode,"(O)378",3
62005,0,7,geode,"(O)569",1
62005,0,7,loose,"(O)80",1
62005,0,7,monster,"Green Slime",1
62005,0,7,monster,"Rock Crab",1
62005,0,7,node,"Copper node",2
62005,0,7,stone,"",104
62005,0,8,container,"",1
62005,0,8,drop,"(O)378",19
62005,0,8,drop,"(O)382",3
62005,0,8,drop,"(O)390",34
62005,0,8,drop,"(O)535",2
62005,0,8,drop,"(O)68",1
62005,0,8,drop,"(O)766",1
62005,0,8,drop,"(O)80",1
62005,0,8,geode,"(O)378",5
62005,0,8,geode,"(O)557",1
62005,0,8,loose,"(O)80",1
62005,0,8,monster,"Green Slime",1
62005,0,8,node,"Copper node",8
62005,0,8,stone,"",62
62005,0,9,container,"",2
62005,0,9,drop,"(O)370",3
62005,0,9,drop,"(O)378",7
62005,0,9,drop,"(O)382",11
62005,0,9,drop,"(O)390",86
62005,0,9,drop,"(O)535",3
62005,0,9,drop,"(O)766",1
62005,0,9,drop,"(O)80",1
62005,0,9,geode,"(O)378",10
62005,0,9,geode,"(O)557",1
62005,0,9,geode,"(O)86",1
62005,0,9,loose,"(O)80",1
62005,0,9,monster,"Green Slime",1
62005,0,9,node,"Copper node",2
62005,0,9,stone,"",134
62005,0,11,drop,"(O)286",3
62005,0,11,drop,"(O)378",5
62005,0,11,drop,"(O)382",3
62005,0,11,drop,"(O)390",26
62005,0,11,drop,"(O)684",1
62005,0,11,drop,"(O)717",1
62005,0,11,drop,"(O)93",3
62005,0,11,loose,"(O)93",3
62005,0,11,monster,"Bug",1
62005,0,11,monster,"Rock Crab",3
62005,0,11,node,"Copper node",2
62005,0,11,stone,"",35
62005,0,12,container,"",3
62005,0,12,drop,"(O)286",2
62005,0,12,drop,"(O)378",7
62005,0,12,drop,"(O)382",4
62005,0,12,drop,"(O)390",18
62005,0,12,drop,"(O)535",1
62005,0,12,drop,"(O)766",2
62005,0,12,geode,"(O)574",1
62005,0,12,monster,"Green Slime",2
62005,0,12,monster,"Rock Crab",2
62005,0,12,node,"Copper node",1
62005,0,12,stone,"",33
62005,0,13,drop,"(O)286",1
62005,0,13,drop,"(O)378",4
62005,0,13,drop,"(O)382",2
62005,0,13,drop,"(O)390",29
